symbol,timestamp,open,high,low,close,trade_count,base_volume,counter_volume,avg
USDC/XLM,2021-02-02 10:05:11.040,3.1183479,3.1183479,3.1183479,3.1183479,1,2.4883926,7.7596737,3.1183478
USDC/XLM,2021-02-02 10:05:11.040,3.1183517,3.1183517,3.1183517,3.1183517,1,330.8446074,1031.6898440,3.1183517
USDC/XLM,2021-02-02 10:18:17.472,3.1173749,3.1173749,3.1173749,3.1173749,1,1.9188446,5.9817580,3.1173749
USDC/XLM,2021-02-02 10:29:12.832,3.0900346,3.0988692,3.0900346,3.0988692,2,1.0327358,3.2000000,3.0985660
USDC/XLM,2021-02-02 10:44:30.336,3.0762361,3.0762361,3.0726271,3.0726271,2,650.1452167,1999.9999999,3.0762358
USDC/XLM,2021-02-02 11:28:11.776,2.9794732,2.9794732,2.9794732,2.9794732,1,6.7125960,20.0000000,2.9794732
USDC/XLM,2021-02-02 11:30:22.848,2.9655798,2.9655798,2.9655798,2.9655798,1,13.4880877,40.0000000,2.9655798
USDC/XLM,2021-02-02 11:32:33.920,2.9863184,2.9863184,2.9863184,2.9863184,1,13.3944190,40.0000000,2.9863184
USDC/XLM,2021-02-02 11:34:44.992,2.9980989,2.9980989,2.9980989,2.9980989,1,40.0000000,119.9239544,2.9980989
USDC/XLM,2021-02-02 11:34:44.992,3.0536327,3.0536327,3.0536327,3.0536327,1,97.0000000,296.2023719,3.0536327
USDC/XLM,2021-02-02 12:14:04.288,3.0759358,3.0759358,3.0759358,3.0759358,1,1.0000000,3.0759359,3.0759359
USDC/XLM,2021-02-02 13:02:07.872,3.0729896,3.0729896,3.0729896,3.0729896,1,0.0650832,0.2000000,3.0729897
USDC/XLM,2021-02-02 13:19:36.448,3.0304266,3.0304266,3.0304266,3.0304266,1,1.1549529,3.5000000,3.0304266
USDC/XLM,2021-02-02 13:21:47.520,3.0310388,3.0310388,3.0310388,3.0310388,1,0.9897596,3.0000000,3.0310391
USDC/XLM,2021-02-02 13:26:09.664,3.0287717,3.0287717,3.0287717,3.0287717,1,6.3823456,19.3306679,3.0287717
USDC/XLM,2021-02-02 13:39:16.096,2.9370424,2.9370424,2.9370424,2.9370424,1,84.8774678,249.2887260,2.9370425
USDC/XLM,2021-02-02 13:48:00.384,2.9283847,2.9283847,2.9283847,2.9283847,1,83.5515953,244.6712138,2.9283847
USDC/XLM,2021-02-02 13:58:55.744,2.9603899,2.9603899,2.9603899,2.9603899,1,0.9929631,2.9395579,2.9603899
USDC/XLM,2021-02-02 14:05:28.960,2.9282577,2.9282577,2.9282577,2.9282577,1,6.8300000,20.0000000,2.9282577
USDC/XLM,2021-02-02 14:09:51.104,2.9190059,2.9190059,2.9190059,2.9190059,1,1.0277471,2.9999999,2.9190060
